long1,long2,lat1,lat2,color,padding,type
-8,0, 38, 40,#F5427B,1.5,i
-8,5, 38, 45,#F5427B,1.5,i
-8,9, 38, 50,#F5427B,1.5,i
-8,17, 38, 39,#F5427B,1.5,i
-8,23, 38, 39,#F5427B,1.5,i
-8,23, 38, 41,#F5427B,1.5,i
-8,23, 38, 43,#F5427B,1.5,i
-8,23, 38, 45,#F5427B,1.5,i
-8,23, 38, 47,#F5427B,1.5,i
-8,23, 38, 50,#F5427B,1.5,i
-8,23, 38, 52,#F5427B,1.5,i
-8,23, 38, 54,#F5427B,1.5,i
-8,23, 38, 56,#F5427B,1.5,i
-8,27, 38, 43,#F5427B,1.5,i
-8,30, 38, 50,#F5427B,1.5,i
-8,30, 38, 56,#F5427B,1.5,i
-8,9, 38, 62,#F5427B,1.5,i
-8,17, 38, 63,#F5427B,1.5,i
-8,25, 38, 65,#F5427B,1.5,i
-50,-8, -23, 38,#9D2E7F,2.5,i
-50,-8, -23, 38,#9D2E7F,2.5,e
-50,-100, -23, 38,#F5427B,1.5,i
-50,-80, -23, 51,#F5427B,1.5,i
-50,-150, -23, 60,#F5427B,1.5,i
-50,-156, -23, 19,#F5427B,1.5,i
-8,-100,38, 39,#F5427B,1.5,i
-8,-80, 38, 48,#F5427B,1.5,i
-8,-150, 38, 62,#F5427B,1.5,i
-8,-150, 38, 20,#000,1.5,i
-50,-100, -23, 50,#F59822,1.5,e
-50,15, -23, 19,#F59822,1.5,e
-50,90, -23, 45,#F59822,1.5,e
-50,125, -23, -30,#F59822,1.5,e
-50,-85, -23, 15,#F59822,1.5,e
-8,-85, 38, 15,#F59822,1.5,e
-8,-100, 38, 50,#F59822,1.5,e
-8,15, 38, 19,#F59822,1.5,e
-8,90, 38, 45,#F59822,1.5,e
-8,125, 38, -30,#F59822,1.5,e

-50,-179,-23,-27,#F59822,1.5,e
-8,-46,38,-59,#F59822,1.5,e
-50,-131,-23,-58,#F59822,1.5,e
-8,117,38,-57,#F59822,1.5,e
-50,-33,-23,49,#F59822,1.5,e
-8,72,38,-56,#F59822,1.5,e
-50,73,-23,-55,#F59822,1.5,e
-8,60,38,-54,#F59822,1.5,e
-50,-12,-23,-36,#F59822,1.5,e
-8,-170,38,-53,#F59822,1.5,e
-50,-173,-23,-52,#F59822,1.5,e
-8,-195,38,-51,#F59822,1.5,e
-50,-14,-23,56,#F59822,1.5,e
-8,41,38,-50,#F59822,1.5,e
-50,-191,-23,-49,#F59822,1.5,e
-8,-53,38,-48,#F59822,1.5,e
-50,-99,-23,-16,#F59822,1.5,e
-8,-91,38,-47,#F59822,1.5,e
-50,-198,-23,-46,#F59822,1.5,e
-8,-22,38,-45,#F59822,1.5,e
-50,92,-23,-49,#F59822,1.5,e
-8,27,38,-44,#F59822,1.5,e
-50,126,-23,-43,#F59822,1.5,e
-8,193,38,-42,#F59822,1.5,e
-50,-113,-23,-42,#F59822,1.5,e
-8,28,38,-41,#F59822,1.5,e
-50,-89,-23,-40,#F59822,1.5,e
-8,-68,38,-39,#F59822,1.5,e
-50,59,-23,46,#F59822,1.5,e
-8,165,38,-38,#F59822,1.5,e
