long1,long2,lat1,lat2,color,padding,type
-8,0, 38, 40,#F5427B,1.5,i
-8,5, 38, 45,#F5427B,1.5,i
-8,9, 38, 50,#F5427B,1.5,i
-8,17, 38, 39,#F5427B,1.5,i
-8,23, 38, 39,#F5427B,1.5,i
-8,23, 38, 41,#F5427B,1.5,i
-8,23, 38, 43,#F5427B,1.5,i
-8,23, 38, 45,#F5427B,1.5,i
-8,23, 38, 47,#F5427B,1.5,i
-8,23, 38, 50,#F5427B,1.5,i
-8,23, 38, 52,#F5427B,1.5,i
-8,23, 38, 54,#F5427B,1.5,i
-8,23, 38, 56,#F5427B,1.5,i
-8,27, 38, 43,#F5427B,1.5,i
-8,30, 38, 50,#F5427B,1.5,i
-8,30, 38, 56,#F5427B,1.5,i
-8,9, 38, 62,#F5427B,1.5,i
-8,17, 38, 63,#F5427B,1.5,i
-8,25, 38, 65,#F5427B,1.5,i
-50,-8, -23, 38,#9D2E7F,2.5,i
-50,-8, -23, 38,#9D2E7F,2.5,e
-50,-100, -23, 38,#F5427B,1.5,i
-50,-80, -23, 51,#F5427B,1.5,i
-50,-150, -23, 60,#F5427B,1.5,i
-50,-156, -23, 19,#F5427B,1.5,i
-8,-100,38, 39,#F5427B,1.5,i
-8,-80, 38, 48,#F5427B,1.5,i
-8,-150, 38, 62,#F5427B,1.5,i
-8,-150, 38, 20,#000,1.5,i
-50,-100, -23, 50,#F59822,1.5,e
-50,15, -23, 19,#F59822,1.5,e
-50,90, -23, 45,#F59822,1.5,e
-50,125, -23, -30,#F59822,1.5,e
-50,-85, -23, 15,#F59822,1.5,e
-8,-85, 38, 15,#F59822,1.5,e
-8,-100, 38, 50,#F59822,1.5,e
-8,15, 38, 19,#F59822,1.5,e
-8,90, 38, 45,#F59822,1.5,e
-8,125, 38, -30,#F59822,1.5,e

-50,2,-23,-40,#F59822,1.5,e
-8,-50,38,-59,#F59822,1.5,e
-50,-35,-23,-58,#F59822,1.5,e
-8,65,38,-57,#F59822,1.5,e
-50,42,-23,-31,#F59822,1.5,e
-8,12,38,-56,#F59822,1.5,e
-50,-50,-23,-55,#F59822,1.5,e
-8,-13,38,-54,#F59822,1.5,e
-50,-12,-23,38,#F59822,1.5,e
-8,22,38,-53,#F59822,1.5,e
-50,-11,-23,-52,#F59822,1.5,e
-8,88,38,-51,#F59822,1.5,e
-50,33,-23,36,#F59822,1.5,e
-8,5,38,-50,#F59822,1.5,e
-50,55,-23,-49,#F59822,1.5,e
-8,59,38,-48,#F59822,1.5,e
-50,82,-23,40,#F59822,1.5,e
-8,72,38,-47,#F59822,1.5,e
-50,39,-23,-46,#F59822,1.5,e
-8,87,38,-45,#F59822,1.5,e
-50,-25,-23,5,#F59822,1.5,e
-8,6,38,-44,#F59822,1.5,e
-50,63,-23,-43,#F59822,1.5,e
-8,-39,38,-42,#F59822,1.5,e
-50,-50,-23,-13,#F59822,1.5,e
-8,55,38,-41,#F59822,1.5,e
-50,43,-23,-40,#F59822,1.5,e
-8,-75,38,-39,#F59822,1.5,e
-50,85,-23,13,#F59822,1.5,e
-8,88,38,-38,#F59822,1.5,e
-50,-7,-23,-37,#F59822,1.5,e
