long1,long2,lat1,lat2,color,padding,type
-8,0, 38, 40,#F5427B,1.5,i
-8,5, 38, 45,#F5427B,1.5,i
-8,9, 38, 50,#F5427B,1.5,i
-8,17, 38, 39,#F5427B,1.5,i
-8,23, 38, 39,#F5427B,1.5,i
-8,23, 38, 41,#F5427B,1.5,i
-8,23, 38, 43,#F5427B,1.5,i
-8,23, 38, 45,#F5427B,1.5,i
-8,23, 38, 47,#F5427B,1.5,i
-8,23, 38, 50,#F5427B,1.5,i
-8,23, 38, 52,#F5427B,1.5,i
-8,23, 38, 54,#F5427B,1.5,i
-8,23, 38, 56,#F5427B,1.5,i
-8,27, 38, 43,#F5427B,1.5,i
-8,30, 38, 50,#F5427B,1.5,i
-8,30, 38, 56,#F5427B,1.5,i
-8,9, 38, 62,#F5427B,1.5,i
-8,17, 38, 63,#F5427B,1.5,i
-8,25, 38, 65,#F5427B,1.5,i
-50,-8, -23, 38,#9D2E7F,2.5,i
-50,-100, -23, 38,#F5427B,1.5,i
-50,-80, -23, 51,#F5427B,1.5,i
-50,-150, -23, 65,#F5427B,1.5,i
-50,-156, -23, 19,#F5427B,1.5,i
-50,-100, -23, 50,#F59822,1.5,e
-50,15, -23, 19,pink,1.5,e
-50,90, -23, 45,green,1.5,e
-50,110, -19, -10,black,1.5,e
